NIM,Tipe Sekolah,Gender,Kota Sekolah,Gaji Orang Tua,Keterangan Lulus,IPS_1,IPS_2,IPS_3,IPS_4
12.11.6076,SMK,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.75,3.08,3.5,3.33
12.11.6081,SMA,L,Luar Kota,Cukup Tinggi,Tidak Tepat Waktu,3.25,3,2.33,2.5
12.11.6090,SMA,L,Luar Kota,Cukup Tinggi,Tidak Tepat Waktu,3.58,2.75,2.25,3.08
12.11.6095,SMA,L,Luar Kota,Cukup Tinggi,Tidak Tepat Waktu,3.5,3.5,3.17,2.67
13.11.6811,SMK,L,Luar Kota,Rendah,Tepat Waktu,3.42,3.5,3.67,3.33
13.11.6954,SMK,L,Luar Kota,Rendah,Tidak Tepat Waktu,3.5,3.92,3.42,3.83
13.11.7004,SMA,L,Luar Kota,Rendah,Tepat Waktu,3.92,3.75,3.75,3.25
13.11.7319,SMA,L,Luar Kota,Rendah,Tepat Waktu,3.67,3.5,3.42,3.5
13.11.7368,SMK,L,Luar Kota,Rendah,Tepat Waktu,3.67,3.5,3.67,3.83
13.11.7485,SMK,L,Luar Kota,Rendah,Tepat Waktu,3.42,2.92,2.92,3.08
13.11.7518,SMK,L,Luar Kota,Rendah,Tidak Tepat Waktu,3,3.08,2.92,3.17
13.11.7587,SMA,L,Luar Kota,Tinggi,Tidak Tepat Waktu,3.5,2.33,2.83,3.25
13.11.7594,SMK,P,Luar Kota,Tinggi,Tidak Tepat Waktu,3.67,3.67,2.92,2.67
13.61.0003,SMA,P,Luar Kota,Tinggi,Tidak Tepat Waktu,3.58,3.58,3.67,3.25
13.11.7517,SMK,L,Luar Kota,Tinggi,Tepat Waktu,3.58,3.58,3.58,3.75
13.11.7389,SMA,L,Luar Kota,Tinggi,Tidak Tepat Waktu,3.58,3.67,3.67,3.42
13.11.7320,SMA,L,Luar Kota,Tinggi,Tidak Tepat Waktu,3.5,3,3.67,3
13.11.7322,SMA,L,Luar Kota,Tinggi,Tidak Tepat Waktu,3.83,3.5,3.42,3.25
13.11.7133,SMA,L,Luar Kota,Tinggi,Tepat Waktu,3.75,3.75,3.75,3
13.11.7270,SMA,L,Luar Kota,Tinggi,Tepat Waktu,3.67,3.83,3.5,3.33
13.11.7302,SMA,L,Luar Kota,Tinggi,Tidak Tepat Waktu,3.42,2.92,2.83,2.67
13.11.6945,SMA,L,Luar Kota,Tinggi,Tepat Waktu,2.83,3.33,3.33,3.5
13.11.6925,SMK,L,Luar Kota,Tinggi,Tepat Waktu,2.58,3,2.5,2.92
13.11.6836,SMA,L,Luar Kota,Tinggi,Tepat Waktu,3.75,3.25,3.58,3.5
13.11.6838,SMA,L,Luar Kota,Tinggi,Tidak Tepat Waktu,3.33,3.25,3,3.33
13.11.6765,SMA,P,Luar Kota,Cukup Tinggi,Tepat Waktu,3.92,3.75,3.83,3.67
13.11.6834,SMA,L,Dalam Kota,Cukup Tinggi,Tepat Waktu,3.5,3.33,3.08,3.33
13.11.6871,SMK,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.25,3.5,3.58,3.58
13.11.6752,SMA,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.67,3.08,4,3.92
13.11.6768,SMA,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.83,3.67,4,3.75
13.11.6865,SMA,L,Dalam Kota,Cukup Tinggi,Tepat Waktu,2.92,3.25,3,2.92
13.11.6906,SMK,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.08,3.5,3.33,3.58
13.11.6908,SMA,L,Luar Kota,Cukup Tinggi,Tidak Tepat Waktu,3.58,3.67,3.33,3.58
13.11.6920,SMA,L,Luar Kota,Cukup Tinggi,Tidak Tepat Waktu,2.83,3.42,2.92,3.58
13.11.7271,SMK,L,Luar Kota,Cukup Tinggi,Tidak Tepat Waktu,3.75,3.83,3.75,3.42
13.11.7259,SMK,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.08,2.92,2.67,2.92
13.11.7280,SMA,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.92,3.5,3.92,3.42
13.11.7194,SMK,P,Luar Kota,Cukup Tinggi,Tepat Waktu,3.92,3.92,3.75,3.92
13.11.7225,SMA,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.33,2.92,3.17,2.75
13.11.7134,SMK,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.42,3.58,3.5,3.25
13.11.7130,SMK,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.42,3.5,3.5,3
13.11.7154,SMA,L,Luar Kota,Cukup Tinggi,Tidak Tepat Waktu,3.5,3.42,3.33,3.33
13.11.6959,SMK,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.92,3.92,3.83,3.92
13.11.6970,SMK,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.17,2.92,3.33,3.33
13.11.6977,SMA,L,Luar Kota,Cukup Tinggi,Tidak Tepat Waktu,3.25,3.67,3.33,3.33
13.11.7316,SMK,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.5,3,2.83,2.92
13.11.7328,SMK,L,Luar Kota,Cukup Tinggi,Tidak Tepat Waktu,3,3.25,3,2.92
13.11.7306,SMK,L,Luar Kota,Cukup Tinggi,Tidak Tepat Waktu,3.42,3.42,3.33,3.25
13.11.6952,SMA,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.42,3.75,3.42,3.83
13.11.7314,SMA,L,Luar Kota,Cukup Tinggi,Tidak Tepat Waktu,3.42,3.5,3.58,2.75
13.11.7333,SMA,P,Luar Kota,Cukup Tinggi,Tepat Waktu,3.5,3.58,3.42,3.58
13.11.7420,SMA,L,Luar Kota,Cukup Tinggi,Tidak Tepat Waktu,3.33,2,2.83,3
13.11.7422,SMK,L,Luar Kota,Cukup Tinggi,Tidak Tepat Waktu,3.67,3.67,3.67,3.75
13.11.7427,SMA,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.58,3.25,2.92,2.92
13.11.7430,SMA,P,Luar Kota,Cukup Tinggi,Tepat Waktu,3.58,3.33,3.33,3.42
13.11.7393,SMK,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.33,3.5,3.5,3.5
13.11.7435,SMA,L,Luar Kota,Cukup Tinggi,Tidak Tepat Waktu,3.83,3.92,3.67,3.75
13.11.7521,SMA,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.58,3.42,3.42,3.58
13.11.7542,SMA,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.42,3.17,3.5,3.75
13.11.7543,SMK,L,Luar Kota,Cukup Tinggi,Tidak Tepat Waktu,3.42,3.42,2.92,3.42
13.11.7469,SMA,P,Luar Kota,Cukup Tinggi,Tepat Waktu,3.5,3.42,3.42,3.42
13.11.7560,SMK,P,Luar Kota,Cukup Tinggi,Tidak Tepat Waktu,3.25,2.92,2.92,3.25
13.11.7596,SMK,L,Luar Kota,Cukup Rendah,Tidak Tepat Waktu,3.67,3.67,3.58,3.08
13.11.7489,SMK,L,Luar Kota,Cukup Rendah,Tidak Tepat Waktu,3.25,3,2.5,2.42
13.11.7438,SMA,L,Luar Kota,Cukup Rendah,Tidak Tepat Waktu,3.58,3.33,3.25,3.17
13.11.7565,SMA,L,Luar Kota,Cukup Rendah,Tidak Tepat Waktu,3.25,3.33,2.83,3
13.11.7367,SMK,L,Luar Kota,Cukup Rendah,Tepat Waktu,3.42,3.5,3.5,3.58
13.11.7514,SMA,P,Luar Kota,Cukup Rendah,Tepat Waktu,3.17,3.25,3.08,3.58
13.11.7267,SMK,L,Luar Kota,Cukup Rendah,Tidak Tepat Waktu,3.42,3.5,3.17,2.75
13.11.7112,SMK,L,Luar Kota,Cukup Rendah,Tepat Waktu,3.25,3.5,3.25,2.92
13.11.7007,SMK,L,Luar Kota,Cukup Rendah,Tepat Waktu,3.25,3.08,3.67,3.75
13.11.7103,SMK,L,Luar Kota,Cukup Rendah,Tidak Tepat Waktu,3.17,3.75,3.58,2.92
13.11.7241,SMK,L,Luar Kota,Cukup Rendah,Tidak Tepat Waktu,3.17,3,3.17,3.17
13.11.7254,SMA,L,Luar Kota,Cukup Rendah,Tepat Waktu,3.67,3.75,3.5,3.58
13.11.7238,SMA,L,Luar Kota,Cukup Rendah,Tepat Waktu,2.67,3,3.08,3.08
13.11.7239,SMA,L,Luar Kota,Cukup Rendah,Tepat Waktu,3.67,3.58,3.67,3.5
13.11.7263,Lain,L,Luar Kota,Cukup Rendah,Tepat Waktu,3.08,2.75,3.08,3.08
13.11.6854,SMA,L,Luar Kota,Cukup Rendah,Tepat Waktu,3.33,3.25,3.33,3.5
13.11.6955,SMK,L,Luar Kota,Cukup Rendah,Tidak Tepat Waktu,3.42,3.33,3.25,3.5
13.11.6904,SMK,L,Luar Kota,Cukup Rendah,Tidak Tepat Waktu,3.25,3.5,3.42,3.5
13.11.6924,SMK,L,Luar Kota,Cukup Rendah,Tepat Waktu,3.5,2.33,1.58,2.75
13.11.7010,SMA,L,Luar Kota,Cukup Rendah,Tidak Tepat Waktu,3.33,3.17,3.33,3.42
13.11.6857,SMA,P,Luar Kota,Cukup Rendah,Tepat Waktu,3.5,3.33,3.08,3.33
13.11.6985,SMK,L,Luar Kota,Sangat Rendah,Tepat Waktu,3,3.42,3.17,3.08
13.11.7312,SMA,L,Luar Kota,Sangat Rendah,Tidak Tepat Waktu,3.17,2.33,3.33,3
13.11.7351,SMK,P,Luar Kota,Sangat Rendah,Tepat Waktu,3.58,3.42,3.5,3.58
13.11.7353,SMK,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.33,3.58,3.25,3.58
13.11.7354,SMA,P,Dalam Kota,Cukup Tinggi,Tepat Waktu,3.83,3.75,3.75,4
13.11.7355,SMK,P,Luar Kota,Cukup Tinggi,Tepat Waktu,3.42,3.08,3.42,2.92
13.11.7357,SMA,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.42,3.92,3.92,3.83
13.11.7358,SMA,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.58,3.75,3.67,3.58
13.11.7359,SMA,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.17,2.83,3,3.17
13.11.7360,SMA,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.33,3.5,3.67,3.42
13.11.7362,SMK,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.17,3,3.42,3.42
13.11.7363,Lain,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.5,3.67,3.33,3.5
13.11.7364,SMK,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.25,3.42,3.17,3.5
13.11.7365,SMK,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.5,3.5,3.75,3.67
13.11.7335,SMK,L,Luar Kota,Cukup Tinggi,Tidak Tepat Waktu,3.17,2.58,2.75,2.5
13.11.7339,SMK,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.67,3.75,3.5,3.92
13.11.7340,SMK,P,Luar Kota,Cukup Tinggi,Tepat Waktu,3.33,3.42,3.33,3.5
13.11.7342,SMK,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.42,3.58,3.83,3.92
13.11.7343,SMK,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.17,2.92,3.42,3.08
13.11.7344,SMA,P,Luar Kota,Cukup Tinggi,Tepat Waktu,3.5,3.75,3.5,3.67
13.11.7345,SMK,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.33,3.75,3.5,3.83
13.11.7347,SMA,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.25,3.58,3.67,3.42
13.11.7348,SMA,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.75,3.92,3.92,4
13.11.7350,SMK,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.5,3.58,3.5,3.67
13.11.7315,SMK,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.42,2.58,2.83,2.83
13.11.7268,SMA,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.83,3.58,3.67,3.33
13.11.7269,SMK,L,Luar Kota,Cukup Tinggi,Tidak Tepat Waktu,3.08,2.83,2.92,2.33
13.11.7308,SMK,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.75,3.58,4,3.5
13.11.7309,SMK,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.42,3.25,3.33,3.08
13.11.7330,SMK,L,Luar Kota,Cukup Tinggi,Tidak Tepat Waktu,3.92,3.75,3.83,3.83
13.11.7331,SMA,P,Luar Kota,Cukup Tinggi,Tepat Waktu,3.42,3,3.58,3.42
13.11.7318,SMK,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.67,3.58,3.5,3.25
13.11.7323,SMA,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.5,3.42,3.58,3.42
13.11.7325,SMA,P,Luar Kota,Cukup Tinggi,Tepat Waktu,3.92,3.58,4,3.83
13.11.7394,Lain,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.42,3.17,3.42,3.75
13.11.7395,SMK,L,Luar Kota,Cukup Tinggi,Tidak Tepat Waktu,3.42,3.58,3.25,3.75
13.11.7396,SMA,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.58,3.75,3.58,3.58
13.11.7398,SMK,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.75,3.83,4,3.75
13.11.7399,Lain,L,Luar Kota,Cukup Tinggi,Tidak Tepat Waktu,3.75,3.58,3.67,3.75
13.11.7403,SMK,L,Luar Kota,Cukup Tinggi,Tidak Tepat Waktu,3.58,3.5,3.17,3.42
13.11.7406,SMA,L,Luar Kota,Cukup Tinggi,Tidak Tepat Waktu,3.75,3.92,3.67,3.75
13.11.7407,SMK,L,Dalam Kota,Cukup Tinggi,Tepat Waktu,3.33,3.58,3.08,2.92
13.11.7408,SMK,L,Luar Kota,Cukup Tinggi,Tidak Tepat Waktu,3,2.25,2.25,3.08
13.11.7412,SMA,L,Luar Kota,Cukup Tinggi,Tidak Tepat Waktu,3.25,3.33,3.17,3.08
13.11.7413,SMK,L,Luar Kota,Cukup Tinggi,Tidak Tepat Waktu,3.67,3.58,3.58,3.25
13.11.7414,SMK,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.25,3.42,3.08,3
13.11.7415,SMK,L,Luar Kota,Cukup Tinggi,Tidak Tepat Waktu,3.5,3.33,3.08,3.08
13.11.7416,SMK,L,Luar Kota,Cukup Tinggi,Tidak Tepat Waktu,3.5,3.5,3.58,3.33
13.11.7417,Lain,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.75,3.92,3.92,3.58
13.11.7419,SMA,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.5,3.5,3.33,3.25
13.11.7431,SMA,L,Luar Kota,Cukup Tinggi,Tidak Tepat Waktu,3.33,3.58,3.08,3.08
13.11.7432,SMA,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.58,3.5,3,3.33
13.11.7433,SMK,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.58,3.67,3.33,3.08
13.11.7434,SMA,P,Luar Kota,Cukup Tinggi,Tepat Waktu,3.58,3.5,3.33,3.42
13.11.7423,SMK,L,Dalam Kota,Cukup Tinggi,Tepat Waktu,3.67,3.25,3.67,3.25
13.11.7390,SMA,P,Luar Kota,Cukup Tinggi,Tepat Waktu,3.42,3.42,3.67,3.25
13.11.7391,SMA,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.83,4,3.92,3.75
13.11.7369,SMA,P,Luar Kota,Cukup Tinggi,Tepat Waktu,3.58,3.42,3.5,3.5
13.11.7371,SMK,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.58,3.83,3.92,3.67
13.11.7375,SMK,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.42,3.17,3.67,3.33
13.11.7376,SMK,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.5,3.17,3.5,3.5
13.11.7377,SMA,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.67,3.83,3.67,4
13.11.7378,SMK,P,Luar Kota,Cukup Tinggi,Tepat Waktu,3.5,3.42,3.67,3.83
13.11.7379,SMK,P,Luar Kota,Cukup Tinggi,Tepat Waktu,3.42,3.25,3.5,3.58
13.11.7380,SMK,L,Luar Kota,Cukup Tinggi,Tepat Waktu,3.42,3.17,3.08,3
13.11.7382,SMK,P,Luar Kota,Cukup Tinggi,Tepat Waktu,3.5,3.17,3.67,3.58
13.11.7384,SMA,P,Luar Kota,Cukup Tinggi,Tepat Waktu,3.58,3.67,3.5,3.58
13.11.7385,SMK,L,Luar Kota,Cukup Tinggi,Tidak Tepat Waktu,3.25,3.17,3.08,3.17
13.11.7386,SMA,L,Dalam Kota,Cukup Tinggi,Tepat Waktu,3.67,3.67,3.5,3.58
13.11.7516,SMK,L,Luar Kota,Cukup Tinggi,Tidak Tepat Waktu,3.25,3.25,2.92,3.25
13.11.7436,SMK,P,Luar Kota,Cukup Tinggi,Tepat Waktu,3.58,3.67,3.67,3.58
